date,name,icon,steps,unit,frequency,points,status,rewarded
27/04/2025,Gym,💪,1,Workout,Daily,10,0,False
27/04/2025,Gaming,🎮,1,Session,Daily,1,0,False
27/04/2025,Gym,💪,1,Workout,Daily,10,0,False
27/04/2025,Gaming,🎮,1,Session,Daily,1,0,False
27/04/2025,Gym,💪,1,Workout,Daily,10,0,False
27/04/2025,Gaming,🎮,1,Session,Daily,1,0,False
27/04/2025,Gym,💪,1,Workout,Daily,10,0,False
27/04/2025,Gaming,🎮,1,Session,Daily,1,0,False
27/04/2025,Gym,💪,1,Workout,Daily,10,0,False
27/04/2025,Gaming,🎮,1,Session,Daily,1,0,False
